|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
284710,284710,Abyss: The Wraiths of Eden,Artifex Mundi,Artifex Mundi,,900,97,0,"50,000 .. 100,000",247,104,211,104,999,999,0,,
285580,285580,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games,,744,362,0,"200,000 .. 500,000",39,0,10,0,0,0,0,,
228400,228400,Ace Combat Assault Horizon - Enhanced Edition,NAMCO,BANDAI NAMCO Entertainment,,2782,1990,0,"200,000 .. 500,000",268,71,85,71,0,0,0,,
unknow,unknow,Ace of Spades,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
269230,269230,Aces Wild: Manic Brawling Action!,"Culture Attack Studio, Tyler Doak",Culture Attack Studio,,248,59,0,"50,000 .. 100,000",36,0,24,0,999,999,0,,
109700,109700,Achron,Hazardous Software Inc.,Hazardous Software Inc.,,54,32,0,"0 .. 20,000",607,0,617,0,1999,1999,0,,
unknow,unknow,Act of Aggression,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
2710,2710,Act of War: Direct Action,Eugen Systems,THQ Nordic,,180,33,0,"20,000 .. 50,000",355,0,241,0,299,299,0,,
9760,9760,Act of War: High Treason,Eugen Systems,THQ Nordic,,153,38,0,"20,000 .. 50,000",1003,0,735,0,299,299,0,,
228180,228180,Action! - Gameplay Recording and Streaming,Mirillis,Mirillis,,1439,374,0,"20,000 .. 50,000",10582,1358,4207,1120,3999,3999,0,,
288040,288040,Actual Sunlight,WZOGI,WZOGI,,360,105,0,"20,000 .. 50,000",355,0,199,0,499,499,0,,
3800,3800,Advent Rising,GlyphX Games,Majesco Entertainment,,257,71,0,"50,000 .. 100,000",312,0,312,0,999,999,0,,
346900,346900,AdVenture Capitalist,Hyper Hippo Games,Hyper Hippo Games,,35009,4196,0,"2,000,000 .. 5,000,000",1964,382,208,42,0,0,0,,
